order_id,product,category,quantity,price,total_amount,date
1001,Pie Shell - 9,Plumbing & Medical Gas,4,5654,0,12/17/2024
1002,Alize Red Passion,Painting & Vinyl Wall Covering,1,5378,0,4/10/2024
1003,Pheasants - Whole,Ornamental Railings,5,4082,0,9/27/2024
1004,Sobe - Berry Energy,Drywall & Acoustical (FED),2,10957,0,1/10/2025
1005,Goldschalger,Roofing (Asphalt),2,8030,0,1/23/2025
1006,Worcestershire Sauce,Roofing (Asphalt),2,3664,0,11/27/2024
1007,Broom And Broom Rack White,Construction Clean and Final Clean,2,4198,0,9/20/2024
1008,Cheese - St. Paulin,Site Furnishings,4,5330,0,9/12/2024
1009,Wine - Wyndham Estate Bin 777,Marlite Panels (FED),4,2735,0,4/14/2024
1010,"Pepper - Chillies, Crushed",Wall Protection,5,4138,0,7/25/2024
1011,Kippers - Smoked,Retaining Wall and Brick Pavers,1,9748,0,3/10/2024
1012,Apple - Custard,HVAC,1,5873,0,2/28/2024
1013,Wine - Crozes Hermitage E.,Roofing (Metal),4,4361,0,3/22/2024
1014,Contreau,Electrical,1,8850,0,7/18/2024
1015,Flour - Bread,Framing (Wood),2,6380,0,2/15/2024
1016,Alize Sunset,Hard Tile & Stone,5,5490,0,3/11/2024
1017,Sultanas,Framing (Wood),4,4013,0,3/31/2024
1018,Amarula Cream,Overhead Doors,4,5374,0,7/12/2024
1019,Chickensplit Half,Soft Flooring and Base,5,4310,0,12/17/2024
1020,Beer - Blue,Marlite Panels (FED),1,7305,0,9/23/2024
